Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
?;Personal Management and Change Management - group 2;5 of 23;21;6.00;5 of 23;21;5.60;5 of 23;21;5.40;5 of 23;21;5.60;5 of 23;21;2.00;5 of 23;21;4.40;5 of 23;21;2.80;5 of 23;21;4.80;5 of 23;21;5.20;5 of 23;21;3.80;5 of 23;21;2.40
?;Software acquisition and requirements;13 of 33;39;5.46;13 of 33;39;5.31;13 of 33;39;5.15;13 of 33;39;5.46;13 of 33;39;3.08;13 of 33;39;4.15;13 of 33;39;2.85;13 of 33;39;3.92;13 of 33;39;4.77;13 of 33;39;3.69;13 of 33;39;3.38
?;System Development and Project Organization - B.Sc. Course;14 of 30;46;4.57;14 of 30;46;4.57;14 of 30;46;5.21;14 of 30;46;4.71;14 of 30;46;4.00;14 of 30;46;3.50;14 of 30;46;3.79;14 of 30;46;3.36;14 of 30;46;5.29;14 of 30;46;2.86;14 of 30;46;2.79
?;T1 Introduction to programming and distributed systems;8 of 21;38;3.38;8 of 21;38;4.38;8 of 21;38;4.00;8 of 21;38;4.12;8 of 21;38;3.62;8 of 21;38;3.75;8 of 21;38;2.88;8 of 21;38;4.00;8 of 21;38;5.00;8 of 21;38;4.12;8 of 21;38;3.00
?;T13 Business Intelligence ;7 of 32;21;2.86;7 of 32;21;3.00;7 of 32;21;3.86;7 of 32;21;2.86;7 of 32;21;4.43;7 of 32;21;3.43;7 of 32;21;4.00;7 of 32;21;2.71;7 of 32;21;5.14;7 of 32;21;3.14;7 of 32;21;2.71
?;T3 HCI Human and Technology;1 of 15;6;6.00;1 of 15;6;6.00;1 of 15;6;5.00;1 of 15;6;5.00;1 of 15;6;2.00;1 of 15;6;6.00;1 of 15;6;1.00;1 of 15;6;6.00;1 of 15;6;5.00;1 of 15;6;3.00;1 of 15;6;3.00
?;T6 IT-Security  ;5 of 13;38;5.60;5 of 13;38;5.40;5 of 13;38;4.60;5 of 13;38;4.80;5 of 13;38;3.80;5 of 13;38;3.80;5 of 13;38;3.20;5 of 13;38;5.40;5 of 13;38;4.40;5 of 13;38;2.60;5 of 13;38;2.20
?;T8 Enterprise Architecture ;9 of 55;16;4.00;9 of 55;16;4.00;9 of 55;16;4.67;9 of 55;16;3.44;9 of 55;16;4.00;9 of 55;16;4.33;9 of 55;16;2.44;9 of 55;16;4.56;9 of 55;16;4.44;9 of 55;16;3.67;9 of 55;16;3.89
KDDK;Basic Graphic Design - group 1;8 of 24;33;5.75;8 of 24;33;5.75;8 of 24;33;5.62;8 of 24;33;5.88;8 of 24;33;3.12;8 of 24;33;3.75;8 of 24;33;3.00;8 of 24;33;5.00;8 of 24;33;4.88;8 of 24;33;4.12;8 of 24;33;2.75
KDDK;Basic Graphic Design - group 2;19 of 31;61;5.11;19 of 31;61;5.11;19 of 31;61;5.21;19 of 31;61;5.68;19 of 31;61;3.00;19 of 31;61;3.47;19 of 31;61;3.32;19 of 31;61;4.53;19 of 31;61;4.84;19 of 31;61;4.84;19 of 31;61;3.89
KDDK;Concept Development for Multimedia ;43 of 67;64;3.40;43 of 67;64;2.86;43 of 67;64;4.65;43 of 67;64;4.19;43 of 67;64;4.12;43 of 67;64;3.09;43 of 67;64;4.00;43 of 67;64;3.74;43 of 67;64;4.88;43 of 67;64;4.23;43 of 67;64;3.95
KDDK;Digital Culture;9 of 14;64;4.78;9 of 14;64;5.00;9 of 14;64;4.00;9 of 14;64;3.89;9 of 14;64;3.56;9 of 14;64;5.78;9 of 14;64;1.89;9 of 14;64;5.33;9 of 14;64;4.33;9 of 14;64;4.44;9 of 14;64;3.44
KDDK;Digital Rhetorics ;21 of 53;39;5.19;21 of 53;39;5.38;21 of 53;39;4.57;21 of 53;39;3.71;21 of 53;39;4.05;21 of 53;39;5.81;21 of 53;39;2.05;21 of 53;39;5.24;21 of 53;39;4.81;21 of 53;39;4.52;21 of 53;39;3.90
KDDK;Globalization, Technology and Culture;4 of 5;80;6.00;4 of 5;80;5.75;4 of 5;80;5.25;4 of 5;80;4.00;4 of 5;80;2.75;4 of 5;80;6.00;4 of 5;80;1.75;4 of 5;80;6.00;4 of 5;80;4.75;4 of 5;80;2.75;4 of 5;80;2.00
KDDK;Interaction Design;29 of 73;39;4.76;29 of 73;39;4.00;29 of 73;39;4.76;29 of 73;39;5.31;29 of 73;39;3.31;29 of 73;39;4.34;29 of 73;39;2.86;29 of 73;39;4.28;29 of 73;39;4.76;29 of 73;39;4.14;29 of 73;39;4.28
KDDK;Introduction to Scripting, Databases and System Architecture;39 of 78;50;4.46;39 of 78;50;5.44;39 of 78;50;3.69;39 of 78;50;5.46;39 of 78;50;3.05;39 of 78;50;5.15;39 of 78;50;1.82;39 of 78;50;4.33;39 of 78;50;3.72;39 of 78;50;5.13;39 of 78;50;4.46
KDDK;Introductory 3D;9 of 37;24;5.00;9 of 37;24;5.67;9 of 37;24;4.33;9 of 37;24;6.00;9 of 37;24;2.22;9 of 37;24;3.67;9 of 37;24;2.56;9 of 37;24;4.00;9 of 37;24;4.89;9 of 37;24;2.89;9 of 37;24;2.67
KDDK;Media and Communication;27 of 78;34;4.26;27 of 78;34;4.81;27 of 78;34;4.33;27 of 78;34;3.00;27 of 78;34;4.30;27 of 78;34;4.52;27 of 78;34;2.48;27 of 78;34;4.96;27 of 78;34;4.85;27 of 78;34;3.96;27 of 78;34;3.70
KDDK;Mobile Communication and Society;3 of 13;23;4.00;3 of 13;23;4.67;3 of 13;23;4.00;3 of 13;23;3.67;3 of 13;23;3.00;3 of 13;23;4.33;3 of 13;23;2.67;3 of 13;23;4.00;3 of 13;23;3.33;3 of 13;23;3.00;3 of 13;23;2.67
KDDK;Multimedia Production for the Internet ;15 of 34;44;5.60;15 of 34;44;5.67;15 of 34;44;4.93;15 of 34;44;5.93;15 of 34;44;2.33;15 of 34;44;3.93;15 of 34;44;1.87;15 of 34;44;3.40;15 of 34;44;4.73;15 of 34;44;4.33;15 of 34;44;3.07
KDDK;Multimedia Production for the Internet ;7 of 31;22;2.86;7 of 31;22;3.00;7 of 31;22;3.00;7 of 31;22;4.14;7 of 31;22;3.86;7 of 31;22;4.14;7 of 31;22;2.57;7 of 31;22;2.57;7 of 31;22;3.29;7 of 31;22;4.57;7 of 31;22;3.86
KDDK;Social Software: design and implementation;3 of 8;37;5.00;3 of 8;37;4.00;3 of 8;37;5.00;3 of 8;37;5.00;3 of 8;37;3.67;3 of 8;37;4.67;3 of 8;37;3.33;3 of 8;37;5.00;3 of 8;37;5.67;3 of 8;37;3.33;3 of 8;37;2.33
KDDK;Target Group Analysis;14 of 24;58;5.14;14 of 24;58;5.43;14 of 24;58;5.29;14 of 24;58;5.93;14 of 24;58;2.00;14 of 24;58;3.36;14 of 24;58;2.86;14 of 24;58;5.14;14 of 24;58;5.50;14 of 24;58;3.57;14 of 24;58;2.64
KDDK;Target Group Analysis;11 of 18;61;5.18;11 of 18;61;5.27;11 of 18;61;5.27;11 of 18;61;5.27;11 of 18;61;3.27;11 of 18;61;4.36;11 of 18;61;2.55;11 of 18;61;4.91;11 of 18;61;5.45;11 of 18;61;3.27;11 of 18;61;2.64
KDDK;Usability;8 of 31;25;5.88;8 of 31;25;5.38;8 of 31;25;5.00;8 of 31;25;5.25;8 of 31;25;3.50;8 of 31;25;5.38;8 of 31;25;2.50;8 of 31;25;5.62;8 of 31;25;5.25;8 of 31;25;4.25;8 of 31;25;3.75
KDDK;Usability with Project;5 of 20;25;5.20;5 of 20;25;5.40;5 of 20;25;4.80;5 of 20;25;5.20;5 of 20;25;4.20;5 of 20;25;4.80;5 of 20;25;3.60;5 of 20;25;4.60;5 of 20;25;5.60;5 of 20;25;3.60;5 of 20;25;3.00
KDDK;Web Design and Web Communication;49 of 122;40;4.90;49 of 122;40;3.96;49 of 122;40;5.02;49 of 122;40;4.78;49 of 122;40;3.90;49 of 122;40;3.31;49 of 122;40;3.51;49 of 122;40;4.16;49 of 122;40;4.71;49 of 122;40;4.65;49 of 122;40;3.96
KINT;Interactive Web Services with Java and XML;10 of 34;29;5.00;10 of 34;29;4.90;10 of 34;29;4.60;10 of 34;29;5.20;10 of 34;29;2.50;10 of 34;29;3.90;10 of 34;29;3.40;10 of 34;29;4.10;10 of 34;29;4.60;10 of 34;29;4.20;10 of 34;29;3.60
KMTG;DADIU Specialisation, Part I;2 of 3;66;4.50;2 of 3;66;4.50;2 of 3;66;5.50;2 of 3;66;3.00;2 of 3;66;3.50;2 of 3;66;4.00;2 of 3;66;3.00;2 of 3;66;5.00;2 of 3;66;3.50;2 of 3;66;4.50;2 of 3;66;4.50
KMTG;Game Culture                 ;8 of 25;32;4.75;8 of 25;32;5.12;8 of 25;32;4.38;8 of 25;32;3.38;8 of 25;32;3.88;8 of 25;32;4.88;8 of 25;32;2.50;8 of 25;32;5.00;8 of 25;32;5.12;8 of 25;32;3.88;8 of 25;32;3.75
KMTG;Game Development        ;14 of 35;40;4.36;14 of 35;40;3.00;14 of 35;40;4.93;14 of 35;40;5.29;14 of 35;40;3.00;14 of 35;40;2.36;14 of 35;40;3.43;14 of 35;40;2.64;14 of 35;40;4.79;14 of 35;40;5.07;14 of 35;40;4.21
KMTG;Storytelling and Games:Challenges, Theories, Techniques;4 of 17;23;5.00;4 of 17;23;4.50;4 of 17;23;4.50;4 of 17;23;3.00;4 of 17;23;4.50;4 of 17;23;4.75;4 of 17;23;4.00;4 of 17;23;5.50;4 of 17;23;5.50;4 of 17;23;3.25;4 of 17;23;3.00
KSDT;Advanced Models and Programs;5 of 12;41;6.00;5 of 12;41;5.40;5 of 12;41;4.80;5 of 12;41;4.40;5 of 12;41;3.60;5 of 12;41;5.60;5 of 12;41;3.20;5 of 12;41;5.00;5 of 12;41;4.60;5 of 12;41;3.80;5 of 12;41;3.60
KSDT;Cross-disciplinary course: Collaboration with Peking University;3 of 5;60;5.00;3 of 5;60;4.00;3 of 5;60;4.67;3 of 5;60;6.00;3 of 5;60;3.00;3 of 5;60;2.67;3 of 5;60;4.67;3 of 5;60;2.00;3 of 5;60;3.00;3 of 5;60;6.00;3 of 5;60;4.00
KSDT;Database Tuning;12 of 36;33;4.83;12 of 36;33;4.83;12 of 36;33;4.83;12 of 36;33;4.42;12 of 36;33;3.33;12 of 36;33;5.42;12 of 36;33;2.00;12 of 36;33;4.50;12 of 36;33;4.17;12 of 36;33;4.08;12 of 36;33;3.83
KSDT;Efficient AI Programming;13 of 46;28;5.00;13 of 46;28;4.77;13 of 46;28;4.31;13 of 46;28;4.08;13 of 46;28;3.92;13 of 46;28;4.92;13 of 46;28;3.31;13 of 46;28;4.92;13 of 46;28;5.15;13 of 46;28;3.92;13 of 46;28;4.08
KSDT;Mobile and Distributed Systems;12 of 43;27;5.08;12 of 43;27;5.50;12 of 43;27;4.83;12 of 43;27;4.67;12 of 43;27;3.50;12 of 43;27;5.25;12 of 43;27;2.17;12 of 43;27;4.50;12 of 43;27;4.83;12 of 43;27;4.58;12 of 43;27;4.92
KSDT;Modelling and Design;8 of 33;24;4.50;8 of 33;24;4.88;8 of 33;24;4.62;8 of 33;24;4.25;8 of 33;24;4.38;8 of 33;24;4.62;8 of 33;24;2.25;8 of 33;24;4.88;8 of 33;24;4.88;8 of 33;24;3.75;8 of 33;24;3.00
KSDT;Multimedia Technology ;10 of 26;38;5.00;10 of 26;38;4.50;10 of 26;38;3.90;10 of 26;38;4.30;10 of 26;38;3.90;10 of 26;38;5.70;10 of 26;38;2.30;10 of 26;38;4.20;10 of 26;38;4.50;10 of 26;38;5.20;10 of 26;38;5.20
KSDT;Performance and Test;5 of 31;16;5.00;5 of 31;16;5.20;5 of 31;16;4.60;5 of 31;16;4.00;5 of 31;16;2.80;5 of 31;16;5.00;5 of 31;16;3.00;5 of 31;16;3.40;5 of 31;16;3.80;5 of 31;16;3.60;5 of 31;16;3.00
KSDT;Programming Workshop;6 of 31;19;3.33;6 of 31;19;3.00;6 of 31;19;4.67;6 of 31;19;5.00;6 of 31;19;4.17;6 of 31;19;4.00;6 of 31;19;4.00;6 of 31;19;2.17;6 of 31;19;2.83;6 of 31;19;5.00;6 of 31;19;3.17
KSDT;System Architecture and Security;19 of 41;46;3.95;19 of 41;46;3.68;19 of 41;46;4.32;19 of 41;46;5.47;19 of 41;46;3.21;19 of 41;46;3.63;19 of 41;46;3.47;19 of 41;46;3.47;19 of 41;46;4.89;19 of 41;46;4.37;19 of 41;46;5.16
KSWU;Advanced Software Engineering;3 of 21;14;4.00;3 of 21;14;4.33;3 of 21;14;3.33;3 of 21;14;2.33;3 of 21;14;5.00;3 of 21;14;4.00;3 of 21;14;3.33;3 of 21;14;3.67;3 of 21;14;4.67;3 of 21;14;4.00;3 of 21;14;3.67
KSWU;Design of User Interfaces and Data;4 of 23;17;5.25;4 of 23;17;5.25;4 of 23;17;5.00;4 of 23;17;5.00;4 of 23;17;4.00;4 of 23;17;4.75;4 of 23;17;4.00;4 of 23;17;4.00;4 of 23;17;4.75;4 of 23;17;3.75;4 of 23;17;3.50
KSWU;IT Project Management ;7 of 45;15;4.86;7 of 45;15;5.29;7 of 45;15;5.86;7 of 45;15;4.29;7 of 45;15;2.86;7 of 45;15;4.14;7 of 45;15;2.86;7 of 45;15;4.43;7 of 45;15;5.00;7 of 45;15;3.57;7 of 45;15;2.71
KSWU;IT Project Management and Software Products    ;11 of 26;42;4.00;11 of 26;42;3.55;11 of 26;42;4.64;11 of 26;42;3.27;11 of 26;42;5.00;11 of 26;42;2.82;11 of 26;42;4.64;11 of 26;42;4.45;11 of 26;42;5.18;11 of 26;42;3.27;11 of 26;42;2.55
KSWU;Introductory Programming ;15 of 66;22;4.13;15 of 66;22;4.27;15 of 66;22;4.47;15 of 66;22;4.47;15 of 66;22;4.20;15 of 66;22;4.67;15 of 66;22;3.27;15 of 66;22;3.73;15 of 66;22;4.93;15 of 66;22;4.40;15 of 66;22;4.07
KSWU;Object-oriented Programming;10 of 33;30;5.20;10 of 33;30;5.20;10 of 33;30;4.50;10 of 33;30;5.40;10 of 33;30;2.30;10 of 33;30;4.80;10 of 33;30;2.30;10 of 33;30;3.10;10 of 33;30;4.60;10 of 33;30;5.10;10 of 33;30;4.00
KSWU;Outsourcing;9 of 29;31;3.89;9 of 29;31;4.22;9 of 29;31;5.11;9 of 29;31;5.11;9 of 29;31;2.89;9 of 29;31;2.67;9 of 29;31;4.56;9 of 29;31;3.22;9 of 29;31;5.44;9 of 29;31;3.67;9 of 29;31;2.89
