Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
KDKM;3D Beginner;7 of 29;24;5.86;7 of 29;24;5.71;7 of 29;24;3.71;7 of 29;24;5.57;7 of 29;24;3.14;7 of 29;24;3.00;7 of 29;24;2.14;7 of 29;24;4.14;7 of 29;24;4.71;7 of 29;24;4.43;7 of 29;24;2.43
KDKM;Basic Graphic Design (net-based education);12 of 29;41;5.67;12 of 29;41;5.00;12 of 29;41;5.25;12 of 29;41;5.92;12 of 29;41;2.33;12 of 29;41;3.08;12 of 29;41;4.00;12 of 29;41;3.83;12 of 29;41;5.17;12 of 29;41;3.50;12 of 29;41;2.42
KDKM;Basic XML and Text Modelling Technologies (17:00-21:00);12 of 24;50;4.50;12 of 24;50;4.92;12 of 24;50;4.75;12 of 24;50;4.33;12 of 24;50;4.75;12 of 24;50;4.83;12 of 24;50;2.58;12 of 24;50;3.92;12 of 24;50;5.25;12 of 24;50;4.17;12 of 24;50;2.67
KDKM;Computer Game Design;16 of 31;51;5.38;16 of 31;51;4.94;16 of 31;51;5.44;16 of 31;51;5.06;16 of 31;51;3.69;16 of 31;51;4.62;16 of 31;51;2.56;16 of 31;51;5.06;16 of 31;51;5.25;16 of 31;51;4.38;16 of 31;51;3.50
KDKM;Computer Game Theory;19 of 36;52;5.26;19 of 36;52;4.95;19 of 36;52;4.63;19 of 36;52;3.95;19 of 36;52;3.58;19 of 36;52;4.58;19 of 36;52;3.00;19 of 36;52;5.05;19 of 36;52;5.32;19 of 36;52;2.84;19 of 36;52;2.00
KDKM;Concept Development for Multimedia;14 of 41;34;5.36;14 of 41;34;4.79;14 of 41;34;4.71;14 of 41;34;4.43;14 of 41;34;3.79;14 of 41;34;3.86;14 of 41;34;3.21;14 of 41;34;4.43;14 of 41;34;4.86;14 of 41;34;3.29;14 of 41;34;2.50
KDKM;Digital Aesthetic and Communication;17 of 44;38;4.29;17 of 44;38;4.82;17 of 44;38;3.94;17 of 44;38;3.24;17 of 44;38;4.47;17 of 44;38;5.24;17 of 44;38;1.82;17 of 44;38;5.18;17 of 44;38;4.29;17 of 44;38;3.94;17 of 44;38;3.47
KDKM;Digital Culture and Sociology (13:30 - 18:30);7 of 20;35;5.57;7 of 20;35;5.71;7 of 20;35;4.43;7 of 20;35;3.86;7 of 20;35;2.86;7 of 20;35;4.86;7 of 20;35;2.29;7 of 20;35;5.14;7 of 20;35;5.43;7 of 20;35;3.57;7 of 20;35;3.71
KDKM;Digital Video Communication;9 of 22;40;5.33;9 of 22;40;4.56;9 of 22;40;5.00;9 of 22;40;5.33;9 of 22;40;3.00;9 of 22;40;4.22;9 of 22;40;2.67;9 of 22;40;4.89;9 of 22;40;5.11;9 of 22;40;4.89;9 of 22;40;4.00
KDKM;Interaction Design;23 of 47;48;4.70;23 of 47;48;4.87;23 of 47;48;4.39;23 of 47;48;4.57;23 of 47;48;3.39;23 of 47;48;4.43;23 of 47;48;2.78;23 of 47;48;4.70;23 of 47;48;5.04;23 of 47;48;3.48;23 of 47;48;2.57
