Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average
BDMD;Concept Development with Industry;24 of 63;38;4.17;22 of 63;34;4.86;23 of 63;36;4.96;24 of 63;38;5.12;24 of 63;38;4.17;24 of 63;38;4.92
BDMD;Designing Digital Play;10 of 29;34;4.20;10 of 29;34;3.90;10 of 29;34;4.40;9 of 29;31;3.33;10 of 29;34;2.90;10 of 29;34;3.90
BDMD;Digital Culture and Media;42 of 70;60;4.90;42 of 70;60;5.31;42 of 70;60;5.29;42 of 70;60;4.48;42 of 70;60;3.90;42 of 70;60;4.50
BDMD;Digital Material and Interactive Artifacts;28 of 43;65;5.25;28 of 43;65;5.36;28 of 43;65;5.18;28 of 43;65;5.21;28 of 43;65;3.96;28 of 43;65;4.82
BDMD;Digital Material and Social Media;13 of 23;56;4.92;13 of 23;56;5.15;12 of 23;52;5.25;13 of 23;56;4.92;13 of 23;56;3.69;13 of 23;56;4.77
BDMD;E-Business and Understanding Business;10 of 32;31;5.10;10 of 32;31;5.40;10 of 32;31;5.40;10 of 32;31;5.70;10 of 32;31;4.00;10 of 32;31;5.50
BDMD;IT in Organizations - a Practice Approach;11 of 30;36;5.00;11 of 30;36;5.36;11 of 30;36;5.36;11 of 30;36;4.36;11 of 30;36;3.82;11 of 30;36;4.64
BDMD;Innovation and Entrepreneurship;17 of 67;25;3.35;16 of 67;23;4.38;17 of 67;25;3.88;17 of 67;25;3.88;17 of 67;25;3.71;17 of 67;25;4.29
BDMD;Introduction to Programming;17 of 58;29;4.88;15 of 58;25;5.27;15 of 58;25;5.07;16 of 58;27;4.56;16 of 58;27;3.94;16 of 58;27;4.69
BDMD;Philosophy of Science;15 of 67;22;4.87;15 of 67;22;5.07;15 of 67;22;5.20;15 of 67;22;3.33;15 of 67;22;3.13;15 of 67;22;3.73
BDMD;Project Cluster. B.Sc. Project;10 of 61;16;5.40;7 of 61;11;5.57;7 of 61;11;5.29;8 of 61;13;5.25;8 of 61;13;5.12;8 of 61;13;4.38
BDMD;User Studies and Quantitative Methods;42 of 65;64;3.33;42 of 65;64;5.07;41 of 65;63;4.95;42 of 65;64;3.67;42 of 65;64;2.76;42 of 65;64;4.12
BGBI;Database Use and Design;36 of 60;60;3.75;34 of 60;56;4.29;32 of 60;53;4.53;35 of 60;58;3.69;35 of 60;58;3.06;35 of 60;58;3.94
BGBI;Global Project Management;36 of 59;61;5.08;35 of 59;59;4.94;35 of 59;59;4.83;35 of 59;59;5.29;35 of 59;59;3.57;35 of 59;59;4.26
BGBI;IT & Work Design;36 of 55;65;5.22;35 of 55;63;5.26;35 of 55;63;5.31;34 of 55;61;4.82;35 of 55;63;3.49;35 of 55;63;4.34
BGBI;IT Enabled Process Improvement;26 of 61;42;4.73;26 of 61;42;4.50;26 of 61;42;4.85;26 of 61;42;5.08;25 of 61;40;4.00;26 of 61;42;4.42
BGBI;IT Governance & Quality Management;6 of 41;14;5.00;6 of 41;14;5.17;6 of 41;14;5.17;6 of 41;14;4.83;6 of 41;14;3.33;6 of 41;14;4.50
BGBI;IT and Business Process Modelling;25 of 62;40;4.76;25 of 62;40;5.24;23 of 62;37;4.96;24 of 62;38;4.46;23 of 62;37;3.61;24 of 62;38;3.79
BGBI;Philosophy of Science and Technology;24 of 62;38;4.67;24 of 62;38;5.29;24 of 62;38;5.29;24 of 62;38;3.62;23 of 62;37;3.22;24 of 62;38;3.96
BGBI;Project Cluster. B.Sc. Project - GBI;3 of 36;8;5.67;3 of 36;8;5.67;3 of 36;8;5.67;3 of 36;8;5.67;3 of 36;8;2.33;3 of 36;8;4.67
BSWU;Algorithms and Data Structures;27 of 67;40;5.81;25 of 67;37;5.68;25 of 67;37;5.28;27 of 67;40;5.63;27 of 67;40;3.26;27 of 67;40;4.70
BSWU;First-year Project: Map of Denmark: Visualization, Navigation, Searching, and Route Planning;24 of 63;38;5.08;22 of 63;34;5.09;21 of 63;33;5.29;23 of 63;36;5.22;24 of 63;38;3.58;24 of 63;38;5.33
BSWU;Foundations of Computing - Discrete Mathematics;28 of 77;36;4.50;24 of 77;31;5.00;25 of 77;32;4.84;28 of 77;36;4.50;27 of 77;35;2.96;28 of 77;36;3.61
BSWU;Project Cluster: Bachelor's Project;8 of 40;20;5.62;7 of 40;17;5.57;7 of 40;17;5.57;7 of 40;17;5.86;7 of 40;17;5.43;7 of 40;17;5.29
BSWU;Reflections on IT;23 of 61;37;3.61;21 of 61;34;4.43;21 of 61;34;4.52;23 of 61;37;3.17;22 of 61;36;3.36;23 of 61;37;4.39
BSWU;Second Year Project: Functional Programming;22 of 63;34;5.36;22 of 63;34;5.41;22 of 63;34;5.23;22 of 63;34;4.27;22 of 63;34;3.73;22 of 63;34;4.59
BSWU;Second Year Project: Software Development in Large Teams with International Collaboration;21 of 55;38;5.10;21 of 55;38;5.19;21 of 55;38;5.10;21 of 55;38;5.52;21 of 55;38;4.38;21 of 55;38;4.62
BSWU;System Development and Project Organisation;22 of 53;41;3.64;22 of 53;41;4.91;22 of 53;41;4.82;22 of 53;41;4.77;22 of 53;41;2.73;22 of 53;41;3.41
KDDK;Basic Graphic Design - group 2;8 of 27;29;5.00;8 of 27;29;5.38;8 of 27;29;5.38;8 of 27;29;5.12;8 of 27;29;4.12;8 of 27;29;5.50
KDDK;Basic Graphic Design - group 3;6 of 27;22;5.33;6 of 27;22;5.50;6 of 27;22;5.67;6 of 27;22;4.83;6 of 27;22;4.00;6 of 27;22;5.17
KDDK;Design for Digital Communication Platforms;17 of 29;58;5.59;17 of 29;58;5.53;17 of 29;58;5.35;18 of 29;62;5.33;17 of 29;58;3.59;18 of 29;62;4.83
KDDK;Designing Interactive Artifacts (1. del af specialisering);16 of 28;57;5.56;15 of 28;53;5.13;15 of 28;53;5.33;15 of 28;53;5.47;15 of 28;53;3.47;15 of 28;53;4.93
KDDK;Digital Cultures (1. del af specialisering);16 of 18;88;5.75;16 of 18;88;5.12;16 of 18;88;5.00;15 of 18;83;5.07;16 of 18;88;3.69;16 of 18;88;4.81
KDDK;Digital Innovation - I;39 of 71;54;4.21;35 of 71;49;4.57;33 of 71;46;4.67;35 of 71;49;4.37;35 of 71;49;3.57;35 of 71;49;4.80
KDDK;Digital Innovation - II;24 of 65;36;4.00;23 of 65;35;4.04;22 of 65;33;4.32;22 of 65;33;4.45;22 of 65;33;4.09;23 of 65;35;4.74
KDDK;Digital Media Aestethics (1. del af specialisering);15 of 34;44;5.13;15 of 34;44;4.93;15 of 34;44;4.93;15 of 34;44;4.33;14 of 34;41;3.07;15 of 34;44;4.33
KDDK;Digital Rhetorics I;39 of 71;54;5.08;39 of 71;54;5.15;39 of 71;54;5.23;40 of 71;56;4.53;38 of 71;53;3.45;40 of 71;56;4.60
KDDK;Digital Rhetorics II;31 of 71;43;4.97;31 of 71;43;5.29;30 of 71;42;5.33;31 of 71;43;4.81;30 of 71;42;3.50;30 of 71;42;4.60
KDDK;Green Society (1. del af specialisering);3 of 12;25;5.67;3 of 12;25;5.67;3 of 12;25;5.67;3 of 12;25;4.33;3 of 12;25;3.67;3 of 12;25;5.00
KDDK;Introduction to Service Design (1. del af specialisering);32 of 70;45;4.88;32 of 70;45;5.31;31 of 70;44;5.23;32 of 70;45;5.31;30 of 70;42;4.63;32 of 70;45;4.75
KDDK;Introductory 3D;10 of 22;45;5.30;10 of 22;45;5.40;10 of 22;45;5.40;10 of 22;45;4.30;10 of 22;45;3.90;10 of 22;45;4.70
KDDK;Mobile Communication: Technical Issues and Methods for Study (1. del af specialisering);8 of 20;40;5.62;8 of 20;40;5.38;7 of 20;35;5.43;8 of 20;40;4.88;7 of 20;35;5.00;8 of 20;40;5.62
KDDK;Statistical Methods for Website Optimisation (A/B test using Google Analytics);4 of 17;23;5.25;4 of 17;23;5.50;4 of 17;23;5.25;4 of 17;23;6.00;4 of 17;23;3.50;4 of 17;23;4.75
KDIM;Business Process Modelling and Analysis;8 of 11;72;5.12;8 of 11;72;5.62;8 of 11;72;5.50;8 of 11;72;4.75;8 of 11;72;3.88;8 of 11;72;4.62
KDIM;Business and Management Foundations;15 of 20;75;5.80;15 of 20;75;5.73;15 of 20;75;5.67;15 of 20;75;5.67;15 of 20;75;4.40;15 of 20;75;4.93
KDIM;Digital Accountability;27 of 52;51;2.00;25 of 52;48;3.04;26 of 52;50;3.12;25 of 52;48;2.48;25 of 52;48;4.64;23 of 52;44;4.04
KDIM;Digital Accountability with Project;2 of 3;66;6.00;2 of 3;66;4.50;2 of 3;66;5.00;2 of 3;66;5.50;2 of 3;66;5.00;2 of 3;66;5.00
KDIM;Digital Change Management;24 of 48;50;5.75;23 of 48;47;5.83;23 of 48;47;5.78;24 of 48;50;5.67;24 of 48;50;2.25;23 of 48;47;4.43
KDIM;Digital Governance;18 of 40;45;4.61;17 of 40;42;4.88;17 of 40;42;4.53;18 of 40;45;4.50;17 of 40;42;3.06;18 of 40;45;4.28
KDIM;Digital Technology and New Business Models;9 of 23;39;4.67;9 of 23;39;4.67;8 of 23;34;4.88;9 of 23;39;5.11;9 of 23;39;3.00;9 of 23;39;4.22
KDIM;ESST Project;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KDIM;ESST Situated Analysis of Global Connections;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KDIM;Foundations in Development of IT;17 of 27;62;3.35;17 of 27;62;4.35;16 of 27;59;4.44;17 of 27;62;3.88;17 of 27;62;3.12;16 of 27;59;4.31
KDIM;Innovation and Technology in Society;17 of 30;56;4.94;16 of 30;53;4.88;16 of 30;53;4.88;17 of 30;56;3.76;17 of 30;56;3.41;17 of 30;56;4.06
KDIM;Innovation and Technology in Society with Project;2 of 2;100;6.00;2 of 2;100;6.00;2 of 2;100;6.00;2 of 2;100;4.50;2 of 2;100;2.50;2 of 2;100;6.00
