Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average
BDMD;Digital Media Culture;40 of 68;58;5.12;39 of 68;57;5.15;39 of 68;57;5.05;40 of 68;58;4.90;39 of 68;57;3.56;38 of 68;55;3.92
BDMD;Project Cluster: Crossmedia;39 of 69;56;4.15;39 of 69;56;3.97;39 of 69;56;4.10;39 of 69;56;5.21;38 of 69;55;3.76;37 of 69;53;4.49
BDMD;Sketching and Prototyping;40 of 68;58;4.58;38 of 68;55;4.82;38 of 68;55;4.71;40 of 68;58;4.53;38 of 68;55;3.58;38 of 68;55;4.50
BSWU;Algorithms and Data Structures;34 of 53;64;4.82;33 of 53;62;5.45;32 of 53;60;5.31;34 of 53;64;5.09;33 of 53;62;3.94;34 of 53;64;4.32
BSWU;Object Oriented Software Construction ;33 of 52;63;5.18;33 of 52;63;4.85;32 of 52;61;4.94;33 of 52;63;5.55;33 of 52;63;2.85;33 of 52;63;4.91
BSWU;Project Cluster: Bachelor's Project;8 of 24;33;5.88;7 of 24;29;5.43;7 of 24;29;5.43;7 of 24;29;5.43;7 of 24;29;4.00;7 of 24;29;4.86
BSWU;Project cluster: First-year Project;32 of 50;64;5.34;32 of 50;64;5.31;31 of 50;62;5.10;32 of 50;64;5.59;32 of 50;64;3.28;32 of 50;64;5.00
BSWU;Project cluster: Second Year Project;14 of 32;43;5.29;14 of 32;43;5.50;14 of 32;43;5.14;14 of 32;43;5.36;14 of 32;43;3.14;14 of 32;43;5.29
BSWU;Reflections on IT;17 of 28;60;4.65;16 of 28;57;4.81;16 of 28;57;4.75;17 of 28;60;3.47;17 of 28;60;2.59;17 of 28;60;3.76
BSWU;System Development and Project Organisation;15 of 33;45;3.73;15 of 33;45;4.87;15 of 33;45;4.80;15 of 33;45;4.73;15 of 33;45;2.27;15 of 33;45;4.20
KDDK;Basic Graphic Design - group 2;11 of 22;50;5.64;11 of 22;50;5.64;11 of 22;50;5.55;11 of 22;50;5.55;11 of 22;50;4.73;11 of 22;50;5.45
KDDK;Digital Culture and Society;3 of 11;27;5.33;3 of 11;27;4.67;3 of 11;27;5.00;3 of 11;27;5.67;3 of 11;27;2.67;3 of 11;27;4.67
KDDK;Digital Rhetorics group 1;30 of 51;58;4.90;30 of 51;58;5.50;30 of 51;58;5.33;30 of 51;58;4.67;30 of 51;58;4.50;30 of 51;58;4.20
KDDK;Digital Rhetorics group 2;16 of 35;45;4.81;16 of 35;45;5.31;16 of 35;45;5.31;16 of 35;45;4.94;16 of 35;45;4.56;16 of 35;45;4.56
KDDK;Digtal Aesthetics: Theory and Practice;10 of 16;62;5.70;10 of 16;62;5.50;10 of 16;62;5.60;10 of 16;62;4.70;10 of 16;62;3.20;10 of 16;62;5.10
KDDK;Experimental Design and Analysis;11 of 24;45;3.82;9 of 24;37;4.00;8 of 24;33;4.25;11 of 24;45;4.45;10 of 24;41;3.30;11 of 24;45;4.00
KDDK;Globalization, Organization and Communication;7 of 11;63;5.71;7 of 11;63;5.71;7 of 11;63;5.71;7 of 11;63;5.29;7 of 11;63;3.29;7 of 11;63;4.71
KDDK;Innovation, Concept Development and Project Management;32 of 67;47;2.88;31 of 67;46;3.19;31 of 67;46;3.87;33 of 67;49;5.00;32 of 67;47;3.38;32 of 67;47;4.44
KDDK;Interaction Design;34 of 63;53;4.71;34 of 63;53;4.91;33 of 63;52;4.82;34 of 63;53;4.03;34 of 63;53;4.41;34 of 63;53;4.82
KDDK;Interactive Multimedia;21 of 40;52;5.48;21 of 40;52;5.62;21 of 40;52;5.48;21 of 40;52;4.95;21 of 40;52;3.67;21 of 40;52;4.86
KDDK;Introduction to Scripting, Databases and System Architecture;31 of 82;37;4.90;30 of 82;36;5.57;29 of 82;35;5.17;31 of 82;37;3.94;31 of 82;37;4.16;31 of 82;37;5.00
KDDK;Media and Communication;26 of 56;46;4.54;26 of 56;46;5.08;26 of 56;46;5.04;26 of 56;46;4.54;26 of 56;46;4.54;24 of 56;42;4.46
KDDK;Mobile Communication: Technical Issues and Methods for Study;3 of 6;50;5.00;2 of 6;33;4.50;1 of 6;16;3.00;3 of 6;50;5.33;3 of 6;50;4.67;3 of 6;50;4.67
KDDK;Project Cluster: Master thesis for DDK students;1 of 21;4;4.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KDDK;Situational Methods for Digital Studies;6 of 10;60;4.67;6 of 10;60;4.17;6 of 10;60;4.50;6 of 10;60;4.67;6 of 10;60;3.83;6 of 10;60;5.00
KDDK;Storytelling and Games:Challenges, Theories, Techniques;4 of 12;33;5.00;4 of 12;33;4.75;4 of 12;33;5.50;4 of 12;33;5.00;4 of 12;33;2.00;4 of 12;33;5.00
KDDK;Usability and Accessibility;9 of 17;52;5.11;9 of 17;52;5.33;7 of 17;41;5.43;9 of 17;52;5.56;9 of 17;52;4.33;9 of 17;52;4.89
KDDK;Web Design and Web Communication group 1;31 of 62;50;5.74;31 of 62;50;5.71;31 of 62;50;5.39;31 of 62;50;5.39;31 of 62;50;3.23;31 of 62;50;4.94
