Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average
BDMD;Designing Digital Play;10 of 28;35;5.90;10 of 28;35;5.60;10 of 28;35;5.20;10 of 28;35;5.40;10 of 28;35;3.20;10 of 28;35;5.00
BDMD;Digital Media Culture;31 of 72;43;4.48;30 of 72;41;4.73;29 of 72;40;4.83;28 of 72;38;4.21;28 of 72;38;3.54;29 of 72;40;4.17
BDMD;E-Business and Understanding Business;15 of 43;34;4.33;15 of 43;34;4.47;14 of 43;32;4.07;15 of 43;34;4.87;15 of 43;34;3.80;15 of 43;34;4.00
BDMD;IT in Organizations - a Practice Approach ;4 of 20;20;3.75;4 of 20;20;4.75;4 of 20;20;4.50;4 of 20;20;3.50;3 of 20;15;1.67;4 of 20;20;3.50
BDMD;Introduction to Programming;10 of 37;27;4.00;10 of 37;27;5.30;9 of 37;24;5.44;9 of 37;24;4.11;10 of 37;27;2.70;10 of 37;27;3.90
BDMD;Project Cluster: Concept Development with Industry;19 of 60;31;5.00;19 of 60;31;5.05;19 of 60;31;4.84;18 of 60;30;5.22;19 of 60;31;3.37;19 of 60;31;4.68
BDMD;Project Cluster: Crossmedia;32 of 72;44;4.72;31 of 72;43;4.94;31 of 72;43;4.77;31 of 72;43;4.68;30 of 72;41;3.53;31 of 72;43;4.55
BDMD;Sketching and Prototyping;32 of 72;44;4.81;32 of 72;44;4.72;32 of 72;44;4.97;32 of 72;44;4.16;31 of 72;43;2.94;32 of 72;44;4.62
BGBI;Database Use and Design;19 of 42;45;4.53;19 of 42;45;4.63;18 of 42;42;4.67;18 of 42;42;4.94;19 of 42;45;2.79;18 of 42;42;3.78
BGBI;Global Project Management;19 of 45;42;5.68;19 of 45;42;5.37;19 of 45;42;5.26;19 of 45;42;5.47;19 of 45;42;3.68;19 of 45;42;4.26
BGBI;IT & Work Design;19 of 44;43;4.74;19 of 44;43;4.95;19 of 44;43;4.95;19 of 44;43;4.58;19 of 44;43;4.11;19 of 44;43;4.58
BSWU;Algorithms and Data Structures;27 of 69;39;5.59;24 of 69;34;5.46;24 of 69;34;4.96;27 of 69;39;5.44;26 of 69;37;3.81;27 of 69;39;4.89
BSWU;Object Oriented Software Construction;25 of 69;36;5.04;20 of 69;28;5.25;19 of 69;27;5.16;25 of 69;36;5.40;25 of 69;36;3.04;25 of 69;36;5.08
BSWU;Project Cluster: Bachelor's Project;8 of 27;29;5.62;7 of 27;25;5.43;7 of 27;25;5.57;7 of 27;25;5.29;7 of 27;25;5.29;7 of 27;25;5.14
BSWU;Project cluster: First-year Project;26 of 65;40;4.92;22 of 65;33;5.18;21 of 65;32;5.14;25 of 65;38;5.52;24 of 65;36;3.58;25 of 65;38;4.64
BSWU;Project cluster: Second Year Project;22 of 39;56;4.41;21 of 39;53;4.29;21 of 39;53;4.67;22 of 39;56;4.73;22 of 39;56;4.59;22 of 39;56;5.05
BSWU;Reflections on IT;8 of 31;25;4.12;8 of 31;25;4.88;8 of 31;25;5.00;8 of 31;25;3.00;8 of 31;25;3.12;8 of 31;25;3.88
BSWU;System Development and Project Organisation;23 of 39;58;3.30;22 of 39;56;4.91;22 of 39;56;4.45;23 of 39;58;4.17;23 of 39;58;2.91;23 of 39;58;4.13
KDDK;Basic Graphic Design - group 2;16 of 25;64;4.88;15 of 25;60;5.20;15 of 25;60;5.27;16 of 25;64;5.38;16 of 25;64;5.00;16 of 25;64;5.06
KDDK;Digital Culture and Society;5 of 9;55;5.60;5 of 9;55;5.60;5 of 9;55;5.80;5 of 9;55;5.40;5 of 9;55;3.20;4 of 9;44;3.75
KDDK;Digital Rhetorics;23 of 69;33;4.83;23 of 69;33;5.22;23 of 69;33;5.30;23 of 69;33;4.70;23 of 69;33;3.70;23 of 69;33;4.65
KDDK;Digtal Aesthetics: Theory and Practice;5 of 30;16;5.20;5 of 30;16;4.60;5 of 30;16;5.00;5 of 30;16;4.60;5 of 30;16;3.40;5 of 30;16;4.20
KDDK;Experimental Design and Analysis;11 of 19;57;3.82;11 of 19;57;4.27;11 of 19;57;4.45;11 of 19;57;4.27;11 of 19;57;4.55;11 of 19;57;4.55
KDDK;Globalization, Organization and Communication;2 of 9;22;5.50;2 of 9;22;5.50;2 of 9;22;5.00;2 of 9;22;6.00;2 of 9;22;3.00;2 of 9;22;5.50
