Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average
BDMD;Academic Work and Communication;43 of 71;60;5.07;43 of 71;60;5.60;42 of 71;59;5.52;43 of 71;60;4.77;43 of 71;60;3.16;41 of 71;57;4.46
BDMD;Co-design - Understanding and Involving Users;22 of 67;32;5.09;19 of 67;28;5.37;19 of 67;28;5.37;21 of 67;31;4.90;20 of 67;29;3.95;20 of 67;29;4.85
BDMD;Digital Aesthetics;22 of 73;30;4.77;19 of 73;26;4.53;19 of 73;26;4.68;22 of 73;30;3.68;22 of 73;30;4.77;22 of 73;30;3.95
BDMD;Interaction Design: Genres and Contexts;42 of 71;59;4.50;41 of 71;57;4.63;41 of 71;57;4.88;41 of 71;57;4.56;40 of 71;56;3.50;40 of 71;56;4.33
BDMD;Media and Communication Theory;42 of 71;59;5.40;40 of 71;56;5.10;40 of 71;56;4.97;40 of 71;56;5.12;41 of 71;57;3.66;40 of 71;56;4.60
BDMD;Mobile Media and Social IT;22 of 68;32;3.73;21 of 68;30;3.62;20 of 68;29;3.60;21 of 68;30;3.90;22 of 68;32;2.91;22 of 68;32;4.09
BDMD;Research Project and Academic Writing;18 of 59;30;3.83;16 of 59;27;4.75;16 of 59;27;4.69;17 of 59;28;3.29;17 of 59;28;3.76;17 of 59;28;4.06
BDMD;Webdesign and Portfolio;43 of 71;60;5.33;42 of 71;59;5.24;41 of 71;57;5.32;42 of 71;59;5.26;42 of 71;59;3.10;42 of 71;59;4.62
BGBI;Business Foundations;23 of 60;38;5.57;22 of 60;36;5.23;22 of 60;36;5.23;22 of 60;36;5.27;22 of 60;36;3.23;22 of 60;36;4.45
BGBI;Enterprise Systems & Information Management;22 of 59;37;4.36;22 of 59;37;3.91;22 of 59;37;4.55;22 of 59;37;4.86;22 of 59;37;3.68;22 of 59;37;4.32
BGBI;IT Enabled Supply Chain Management;22 of 39;56;5.55;22 of 39;56;5.68;21 of 39;53;5.52;22 of 39;56;5.09;21 of 39;53;4.19;21 of 39;53;4.71
BGBI;IT Foundations;36 of 73;49;4.81;36 of 73;49;4.94;35 of 73;47;4.86;36 of 73;49;4.78;35 of 73;47;3.71;36 of 73;49;4.19
BGBI;IT, Globalisation and Culture;23 of 46;50;2.91;23 of 46;50;3.22;23 of 46;50;3.91;23 of 46;50;3.09;22 of 46;47;3.23;22 of 46;47;4.14
BGBI;New Media and Communication;31 of 66;46;3.94;29 of 66;43;4.83;27 of 66;40;4.78;31 of 66;46;3.84;30 of 66;45;2.63;30 of 66;45;3.90
BGBI;Organisation & Process Theory;24 of 63;38;3.83;23 of 63;36;4.35;23 of 63;36;4.57;24 of 63;38;4.00;23 of 63;36;3.61;23 of 63;36;4.26
BGBI;Society and Technology;33 of 64;51;5.61;33 of 64;51;5.58;33 of 64;51;5.27;33 of 64;51;4.85;33 of 64;51;3.55;33 of 64;51;4.45
BSWU;Analysis, Design and Software Architecture;29 of 62;46;4.48;28 of 62;45;5.11;27 of 62;43;5.33;28 of 62;45;5.54;29 of 62;46;5.28;29 of 62;46;5.34
BSWU;Business Processes and Organisation;19 of 52;36;3.95;16 of 52;30;5.19;16 of 52;30;5.56;19 of 52;36;4.58;18 of 52;34;4.44;18 of 52;34;4.56
BSWU;Introduction to Database Design;25 of 58;43;5.32;24 of 58;41;5.50;24 of 58;41;5.38;25 of 58;43;5.32;25 of 58;43;2.52;25 of 58;43;4.40
BSWU;Introductory Programming;46 of 70;65;5.59;45 of 70;64;5.51;44 of 70;62;5.43;46 of 70;65;5.78;45 of 70;64;3.38;45 of 70;64;4.87
BSWU;Mobile and Distributed Systems;27 of 61;44;2.85;27 of 61;44;3.74;27 of 61;44;3.78;26 of 61;42;4.27;27 of 61;44;3.07;27 of 61;44;3.48
BSWU;Operating Systems and C;19 of 53;35;5.42;17 of 53;32;5.47;18 of 53;33;4.89;19 of 53;35;4.89;19 of 53;35;4.16;19 of 53;35;5.00
BSWU;Programs as Data;18 of 53;33;5.61;18 of 53;33;5.61;18 of 53;33;5.28;18 of 53;33;4.67;18 of 53;33;3.44;18 of 53;33;5.11
BSWU;Project Work and Communication I;21 of 35;60;4.67;19 of 35;54;5.26;19 of 35;54;5.11;21 of 35;60;5.24;20 of 35;57;3.15;21 of 35;60;4.52
BSWU;Project Work and Communication II;25 of 36;69;4.72;25 of 36;69;5.12;25 of 36;69;5.04;25 of 36;69;4.88;25 of 36;69;3.08;25 of 36;69;4.68
BSWU;Systematic Design of User Interfaces;44 of 71;61;4.00;44 of 71;61;4.91;43 of 71;60;5.05;44 of 71;61;4.36;44 of 71;61;2.20;44 of 71;61;3.59
KDDK;Basic Graphic Design - group 2;8 of 20;40;5.88;8 of 20;40;5.75;8 of 20;40;5.75;8 of 20;40;5.00;8 of 20;40;4.50;8 of 20;40;5.25
KDDK;Basic Graphic Design - group 3;5 of 27;18;5.00;5 of 27;18;5.40;5 of 27;18;4.60;5 of 27;18;4.40;5 of 27;18;4.40;5 of 27;18;4.20
KDDK;Creative Digital Practice;12 of 20;60;5.58;12 of 20;60;5.00;12 of 20;60;5.08;12 of 20;60;4.92;12 of 20;60;3.25;12 of 20;60;5.33
KDDK;Design for Digital Communication Platforms I;39 of 72;54;5.31;37 of 72;51;5.49;37 of 72;51;5.38;38 of 72;52;5.26;37 of 72;51;3.70;38 of 72;52;5.16
KDDK;Design for Digital Communication Platforms II;20 of 65;30;5.05;20 of 65;30;4.65;20 of 65;30;5.10;20 of 65;30;4.75;19 of 65;29;4.32;20 of 65;30;5.05
KDDK;Design, Regulation, Business and Social Context;3 of 6;50;6.00;3 of 6;50;6.00;3 of 6;50;6.00;3 of 6;50;6.00;3 of 6;50;3.33;3 of 6;50;5.33
KDDK;Designing Interactive Artifacts in Action;11 of 20;55;4.27;11 of 20;55;4.09;11 of 20;55;4.55;11 of 20;55;4.64;10 of 20;50;3.80;11 of 20;55;4.73
KDDK;Digital Media and Communication I;32 of 63;50;3.81;32 of 63;50;4.62;32 of 63;50;4.75;32 of 63;50;3.72;32 of 63;50;4.25;32 of 63;50;4.44
KDDK;Digital Media and Communication II;18 of 57;31;3.61;18 of 57;31;4.11;18 of 57;31;4.44;18 of 57;31;4.00;18 of 57;31;4.00;18 of 57;31;4.28
KDDK;Environmental Networks;2 of 5;40;4.50;2 of 5;40;4.50;2 of 5;40;5.00;2 of 5;40;5.50;2 of 5;40;1.00;2 of 5;40;5.00
KDDK;Exploring Networked Culture;6 of 15;40;5.67;6 of 15;40;5.67;6 of 15;40;5.67;6 of 15;40;4.83;6 of 15;40;3.67;6 of 15;40;4.67
KDDK;Global IT;52 of 116;44;3.77;51 of 116;43;4.45;51 of 116;43;4.71;51 of 116;43;3.39;48 of 116;41;3.27;51 of 116;43;4.61
KDDK;Interaction Design I;34 of 60;56;4.91;34 of 60;56;4.68;33 of 60;55;4.85;34 of 60;56;4.41;34 of 60;56;4.50;34 of 60;56;5.24
KDDK;Interaction Design II;18 of 55;32;4.67;18 of 55;32;4.72;18 of 55;32;5.00;18 of 55;32;4.83;18 of 55;32;3.94;18 of 55;32;4.72
KDDK;Interactive Multimedia;9 of 25;36;4.67;9 of 25;36;4.22;9 of 25;36;4.56;9 of 25;36;4.22;9 of 25;36;2.78;9 of 25;36;4.78
KDDK;Introduction to Service Design;12 of 24;50;4.00;12 of 24;50;3.92;12 of 24;50;4.08;12 of 24;50;4.50;12 of 24;50;3.17;12 of 24;50;4.17
KDDK;Introductory 3D;7 of 30;23;5.43;7 of 30;23;5.43;7 of 30;23;5.43;7 of 30;23;4.71;7 of 30;23;3.71;7 of 30;23;5.00
KDDK;Scientific Methods and IT Understanding;53 of 139;38;4.38;47 of 139;33;4.15;46 of 139;33;4.24;48 of 139;34;3.42;45 of 139;32;2.29;45 of 139;32;5.09
KDDK;Service Design;19 of 43;44;4.32;19 of 43;44;4.37;18 of 43;41;4.00;19 of 43;44;5.26;18 of 43;41;4.28;19 of 43;44;4.95
KDDK;Website Optimisation through Statistical Analysis (using Google Analytics Experiments);3 of 20;15;3.00;3 of 20;15;2.00;3 of 20;15;2.00;3 of 20;15;4.00;3 of 20;15;4.67;3 of 20;15;4.67
KDIM;Business and Management Foundations;10 of 38;26;5.10;10 of 38;26;4.90;10 of 38;26;4.50;10 of 38;26;4.80;10 of 38;26;2.50;10 of 38;26;4.40
KDIM;Foundations in Development of IT;15 of 44;34;4.27;14 of 44;31;4.64;14 of 44;31;4.86;15 of 44;34;4.80;15 of 44;34;2.33;15 of 44;34;4.27
KDIM;Innovation and Technology in Society;12 of 35;34;4.00;12 of 35;34;4.58;12 of 35;34;4.17;12 of 35;34;3.17;12 of 35;34;2.75;12 of 35;34;3.67
KDIM;Innovation and Technology in Society with Project;3 of 11;27;4.00;1 of 11;9;3.00;1 of 11;9;4.00;2 of 11;18;4.50;1 of 11;9;3.00;2 of 11;18;4.50
KDIM;Navigating Complexity Mapping Visualisation and Decisionmaking;18 of 64;28;4.61;16 of 64;25;4.56;16 of 64;25;4.50;17 of 64;26;4.94;18 of 64;28;4.67;18 of 64;28;4.78
KEBUSS;B19 IT-Strategy;23 of 43;53;5.30;23 of 43;53;5.30;23 of 43;53;5.04;23 of 43;53;5.26;23 of 43;53;4.00;23 of 43;53;4.74
KEBUSS;B30 Enterprise Strategy, Business and Technology;14 of 36;38;4.07;13 of 36;36;3.92;14 of 36;38;4.00;14 of 36;38;4.93;14 of 36;38;3.71;14 of 36;38;4.64
KEBUSS;B31 The Internet as A Battlefield - Competing With Digital Goods and Services;15 of 37;40;4.60;15 of 37;40;4.60;15 of 37;40;4.73;15 of 37;40;4.67;14 of 37;37;3.43;14 of 37;37;4.57
KEBUSS;B34 Digital entrepeneurship;6 of 25;24;5.67;6 of 25;24;4.83;6 of 25;24;5.00;6 of 25;24;5.67;6 of 25;24;5.33;6 of 25;24;5.33
KEBUSS;B36 Artificial Intelligence in the Marketplace;7 of 30;23;4.86;7 of 30;23;4.00;7 of 30;23;4.71;7 of 30;23;4.43;7 of 30;23;2.71;7 of 30;23;4.57
KEBUSS;B42 Social Business: Social Media Engagement, Analytics & Management;13 of 39;33;5.23;13 of 39;33;5.15;13 of 39;33;4.85;13 of 39;33;5.00;13 of 39;33;4.00;13 of 39;33;4.92
KEBUSS;SF23 Perspectives on e-business;15 of 68;22;4.73;15 of 68;22;4.80;15 of 68;22;4.67;15 of 68;22;3.00;15 of 68;22;3.33;15 of 68;22;3.80
