Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average
BDMD;Co-design - Understanding and Involving users;31 of 72;43;4.55;28 of 72;38;5.00;28 of 72;38;4.82;29 of 72;40;4.66;28 of 72;38;3.54;28 of 72;38;4.46
BDMD;Digital Aesthetics;29 of 72;40;4.62;26 of 72;36;4.88;26 of 72;36;4.88;27 of 72;37;3.52;27 of 72;37;3.26;27 of 72;37;4.15
BDMD;Dissemination, Project Work and Web Design;51 of 83;61;5.49;49 of 83;59;5.31;49 of 83;59;5.29;50 of 83;60;5.36;49 of 83;59;3.90;49 of 83;59;4.57
BDMD;Introduction to Interaction Design;51 of 83;61;5.20;50 of 83;60;5.06;50 of 83;60;5.08;50 of 83;60;4.52;51 of 83;61;3.45;50 of 83;60;4.64
BDMD;Introduction to Media and Communication;52 of 81;64;3.65;45 of 81;55;4.24;45 of 81;55;4.51;49 of 81;60;4.53;44 of 81;54;3.64;49 of 81;60;3.88
BDMD;Mobile Media and Social IT;34 of 82;41;3.59;33 of 82;40;3.64;32 of 82;39;4.00;33 of 82;40;4.24;33 of 82;40;3.58;33 of 82;40;4.67
BDMD;Research Project and Academic Writing;14 of 64;21;3.36;13 of 64;20;4.54;13 of 64;20;4.77;13 of 64;20;2.62;13 of 64;20;3.62;13 of 64;20;4.38
BGBI;Business Foundations;10 of 44;22;5.50;10 of 44;22;5.60;10 of 44;22;5.70;10 of 44;22;5.20;10 of 44;22;4.50;10 of 44;22;5.10
BGBI;Enterprise Systems & Information Management;10 of 42;23;5.00;10 of 42;23;5.20;10 of 42;23;5.20;10 of 42;23;5.30;10 of 42;23;4.40;10 of 42;23;5.00
BGBI;IT Enabled Supply Chain Management;14 of 42;33;5.00;13 of 42;30;4.92;12 of 42;28;4.92;14 of 42;33;4.43;13 of 42;30;2.62;13 of 42;30;3.62
BGBI;IT Foundations;48 of 73;65;4.56;47 of 73;64;4.64;47 of 73;64;4.70;48 of 73;65;4.58;48 of 73;65;3.71;48 of 73;65;4.33
