Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
KDKM;3D Beginner;16 of 34;47;5.38;16 of 34;47;5.69;16 of 34;47;4.62;16 of 34;47;5.69;16 of 34;47;3.25;16 of 34;47;3.12;16 of 34;47;3.06;16 of 34;47;3.88;16 of 34;47;5.00;16 of 34;47;3.75;16 of 34;47;2.31
KDKM;Basic Graphic Design ;10 of 30;33;5.50;10 of 30;33;5.20;10 of 30;33;5.30;10 of 30;33;5.70;10 of 30;33;2.00;10 of 30;33;3.40;10 of 30;33;3.10;10 of 30;33;4.80;10 of 30;33;5.70;10 of 30;33;4.10;10 of 30;33;2.90
KDKM;Basic Web Design ;63 of 109;57;4.70;63 of 109;57;4.10;63 of 109;57;4.98;63 of 109;57;4.75;63 of 109;57;4.19;63 of 109;57;3.02;63 of 109;57;3.75;63 of 109;57;3.63;63 of 109;57;4.83;63 of 109;57;3.95;63 of 109;57;3.62
KDKM;Communication at the net;19 of 32;59;4.21;19 of 32;59;3.21;19 of 32;59;4.58;19 of 32;59;3.58;19 of 32;59;4.42;19 of 32;59;3.79;19 of 32;59;3.63;19 of 32;59;4.21;19 of 32;59;5.58;19 of 32;59;2.95;19 of 32;59;2.37
KDKM;Computer Game Culture ;10 of 27;37;5.40;10 of 27;37;5.40;10 of 27;37;5.20;10 of 27;37;3.40;10 of 27;37;3.40;10 of 27;37;5.40;10 of 27;37;3.40;10 of 27;37;5.70;10 of 27;37;5.30;10 of 27;37;4.00;10 of 27;37;2.70
KDKM;Computer Game Design;17 of 32;53;4.41;17 of 32;53;3.88;17 of 32;53;4.76;17 of 32;53;3.29;17 of 32;53;5.35;17 of 32;53;3.71;17 of 32;53;4.29;17 of 32;53;4.35;17 of 32;53;5.29;17 of 32;53;3.00;17 of 32;53;2.53
KDKM;Computer Game Theory;12 of 26;46;5.50;12 of 26;46;4.83;12 of 26;46;4.83;12 of 26;46;3.50;12 of 26;46;4.58;12 of 26;46;3.92;12 of 26;46;4.25;12 of 26;46;4.17;12 of 26;46;5.33;12 of 26;46;2.92;12 of 26;46;2.00
KDKM;Digital Aesthetic and Communication;9 of 16;56;5.22;9 of 16;56;4.44;9 of 16;56;4.33;9 of 16;56;3.78;9 of 16;56;3.56;9 of 16;56;4.56;9 of 16;56;3.00;9 of 16;56;5.11;9 of 16;56;4.78;9 of 16;56;3.78;9 of 16;56;2.56
KDKM;Digital Video Communication;9 of 20;45;4.56;9 of 20;45;4.56;9 of 20;45;4.44;9 of 20;45;4.89;9 of 20;45;4.11;9 of 20;45;4.44;9 of 20;45;3.11;9 of 20;45;3.78;9 of 20;45;5.56;9 of 20;45;4.00;9 of 20;45;3.56
KDKM;Interaction Design;33 of 54;61;5.30;33 of 54;61;5.15;33 of 54;61;5.24;33 of 54;61;5.48;33 of 54;61;2.91;33 of 54;61;4.55;33 of 54;61;2.94;33 of 54;61;4.94;33 of 54;61;4.55;33 of 54;61;4.00;33 of 54;61;3.15
KDKM;Learning and IT ;12 of 17;70;5.25;12 of 17;70;4.92;12 of 17;70;4.92;12 of 17;70;4.67;12 of 17;70;3.50;12 of 17;70;4.67;12 of 17;70;2.58;12 of 17;70;4.83;12 of 17;70;4.67;12 of 17;70;3.33;12 of 17;70;3.17
KDKM;Managing Digital Content Production;15 of 23;65;4.40;15 of 23;65;4.07;15 of 23;65;4.73;15 of 23;65;4.67;15 of 23;65;3.93;15 of 23;65;2.93;15 of 23;65;3.87;15 of 23;65;3.73;15 of 23;65;4.93;15 of 23;65;3.60;15 of 23;65;2.47
KDKM;Media and Communication;36 of 59;61;4.56;36 of 59;61;4.58;36 of 59;61;4.28;36 of 59;61;2.64;36 of 59;61;4.39;36 of 59;61;5.25;36 of 59;61;2.56;36 of 59;61;5.17;36 of 59;61;4.61;36 of 59;61;3.72;36 of 59;61;3.47
KDKM;Multimedia Production for the Internet;11 of 40;27;5.36;11 of 40;27;5.36;11 of 40;27;5.45;11 of 40;27;5.73;11 of 40;27;3.09;11 of 40;27;4.55;11 of 40;27;3.73;11 of 40;27;4.55;11 of 40;27;5.18;11 of 40;27;4.91;11 of 40;27;3.45
